Company Name,Contact Number,url
Air Namibia (SW),"""+1 877 777 6030, +1 877 777 6030, +33 0 1 86 46 79 70, +49 69 77 06 73 030, +44 0 207 644 8842, +1 877 496 9893, +264 61 299 6111""",https://www.seatguru.com//airlines/Air_Namibia/information.php
Air New Zealand (NZ),"""1-800-262-1234, 1-800-262-1234, 0800 028 4149, 0800-737-000, 1-800-262-1234, 0800 028 4149""",https://www.seatguru.com//airlines/Air_New_Zealand/information.php
Air North (4N),"""(867) 668-2228 ext. 701, (867) 668-2228 ext. 701, (800) 661-0407 ext. 701, (867) 668-2228 ext. 778, (800) 661-0407 ext. 778, (867) 668-2228 ext 1, (800) 661-0407 ext 1""",https://www.seatguru.com//airlines/Air_North/information.php
Air Seoul (RS),"""1800 8100, 1800 8100, +82 1800 8100""",https://www.seatguru.com//airlines/Air_Seoul/information.php
Air Serbia (JU),"""+49 692 0756, +49 692 0756, +391 0800 111 528, +44 20 37 695 856, +1 773 942 6186, +381 11 311 21 23""",https://www.seatguru.com//airlines/Air_Serbia/information.php
Air Tahiti Nui (TN),"""310-258-9913 x25, 310-258-9913 x25, 718-751-4426, 689-40-46-03-03, 689-40-46-03-03""",https://www.seatguru.com//airlines/Air_Tahiti_Nui/information.php
Air Transat (TS),"""514-906-5550 , 514-906-5550 , 1-877-872-6728, 1-877-872-6728, 020 7616 9187""",https://www.seatguru.com//airlines/Air_Transat/information.php
Air Vanuatu (NF),"""+61 1300 780 737, +61 1300 780 737, +64 9 373 3435, +678 23848, +678 37670""",https://www.seatguru.com//airlines/Air_Vanuatu/information.php
AirAsia (AK),"""+61 2 8188 2133, +61 2 8188 2133, +86 512 8555 7711, +852 3013 5060, +853 6262 6352, +91 80 4666 2222, +62 21 2927 0999, +98 21 2620 0686, +81 50 6864 8181, +81 50 3176 1789, 1600 85 8888, +64 9 887 6920, +63 2 722 2742, +82 050 4092 00525, +886 2 8793 3532, +66 2 515 9999, +1 844 727 4588""",https://www.seatguru.com//airlines/Air_Asia/information.php
AirAsia X (D7),"""+61 2 8188 2133, +61 2 8188 2133, +86 512 8555 7711, +852 3013 5060, +853 6262 6352, +91 80 4666 2222, +62 21 2927 0999, +81 50 6864 8181, +81 50 3176 1789, 1600 85 8888, +64 9 887 6920, +63 2 722 2742, +82 050 4092 00525, +886 2 8793 3532, +66 2 515 9999, +1 844 727 4588""",https://www.seatguru.com//airlines/AirAsia_X/information.php
Aircalin (SB),"""""",https://www.seatguru.com//airlines/Aircalin/information.php
Alaska Airlines (AS),"""+1 800 252 7522, +1 800 252 7522, +1 800 654 5669""",https://www.seatguru.com//airlines/Alaska_Airlines/information.php
Alitalia (AZ),"""1-800-223-5730, 1-800-223-5730, 1-888-5ALITALIA, 1-800-223-5730, ??08714 24 14 24?""",https://www.seatguru.com//airlines/Alitalia_Airlines/information.php
Allegiant (G4),"""1-866-719-3910, 1-866-719-3910, 1-866-719-3910, 1-702-505-8888""",https://www.seatguru.com//airlines/Allegiant_Air/information.php
American Airlines (AA),"""1-800-421-0600, 1-800-421-0600, 00 44 (0) 207 365 0777, 1-800-223-5436, 1-800-433-7300, 00 44 (0) 207 365 0777""",https://www.seatguru.com//airlines/American_Airlines/information.php
ANA (NH),"""1-800-235-9262, 1-800-235-9262, 03-6741-1120, 1-800-2FLYANA, +44 (0)20-8762-8977""",https://www.seatguru.com//airlines/ANA/information.php
Asiana (OZ),"""1-800-227-4262, 1-800-227-4262, 44-20-7304-9900, 1-888-437-7718""",https://www.seatguru.com//airlines/Asiana/information.php
Austrian (OS),"""1-800-581-6400, 1-800-581-6400, 1-800-843-0002, 1-800-843-0002, +43 (0) 5 1766 1000""",https://www.seatguru.com//airlines/Austrian_Airlines/information.php
Avianca (AV),"""(0 810) 333-8222, (0 810) 333-8222, (00297) 588-0059, (800) 10-8222, (0 800) 891-8668, (1 800) 722-8222, (800) 53-6022, (01 8000) 95-3434, (506) 2299-8222, (5999) 844-2020, (809) 200-8662, (1 800) 00-3434, (503) 2267-8222, (503) 2267-8222, (502) 2470-8222, (504) 2570-8222, (504) 2281-8222, (511) 511-8222, (01 800) 123-3120, (505) 2276-9982, (00800) 939-0468 - (507) 206-8222, (009 800) 511-8222, (1 800) 284-2622, (34 900) 802-500, (0 800) 0314-206, (1 800) 284-2622, (000) 405-1004, (0 800) 284-2622""",https://www.seatguru.com//airlines/Avianca/information.php
Azerbaijan Hava Yollary (J2),"""+ 994 (12) 598-88-80, + 994 (12) 598-88-80""",https://www.seatguru.com//airlines/Azerbaijan_Airlines/information.php
Azores Airlines (S4),"""+351 707 22 7282, +351 707 22 7282, +1 508 677 0555, +351 296 209 720""",https://www.seatguru.com//airlines/Azores_Airlines/information.php
Azul (AD),"""+1 844 499 2985, +1 844 499 2985, +55 11 4003 1141""",https://www.seatguru.com//airlines/Azul_Airlines/information.php
Bamboo Airways (QH),"""024 32333233, 024 32333233, 1900 1166, +84 24 32333233""",https://www.seatguru.com//airlines/Bamboo_Airways/information.php
Bangkok Airways (PG),"""+66 (2) 270 6699, +66 (2) 270 6699""",https://www.seatguru.com//airlines/Bangkok_Airways/information.php
British Airways (BA),"""1-800-955-2748, 1-800-955-2748, 0844 493 0 747, 1-866-393-0961, 0844-493-0787, 1-800-403-0882""",https://www.seatguru.com//airlines/British_Airways/information.php
Brussels Airlines (SN),"""+1 866 308 2230, +1 866 308 2230, +32 2 723 23 62, +1 866 308 2230""",https://www.seatguru.com//airlines/Brussels_Airlines/information.php
Caribbean Airlines (BW),"""+ 1 800 920 4225, + 1 800 920 4225, 	+ 1 305 869 3795, 	+ 1 305 526 6880, + 1 868 669 3000 ext 2255, 	+ 1 800 920 4225, 	855-225-2247, + 1 868 669 3000 Ext 2411/2415""",https://www.seatguru.com//airlines/Caribbean_Airlines/information.php
Cathay Dragon (KA),"""+800 2747 2200, +800 2747 2200""",https://www.seatguru.com//airlines/Dragonair/information.php
Cathay Pacific (CX),"""1-877-609-2233, 1-877-609-2233, (852) 2747-1888, 1-800-233-2742, +44 (20) 8834 8888""",https://www.seatguru.com//airlines/Cathay_Pacific_Airways/information.php
Cayman Airways (KX),"""+55 0800 031 3360, +55 0800 031 3360, +1 345 949 2311, +504 800 2791 9422, +1 866 759 1372, +507 800 0195, +1 800 422 9626""",https://www.seatguru.com//airlines/Cayman_Airways/information.php
CEBU Pacific Air (5J),""" +63-2-7020-888,  +63-2-7020-888""",https://www.seatguru.com//airlines/Cebu_Pacific/information.php
China Airlines (CI),"""886-2-2545-5700, 886-2-2545-5700, 1-800-227-5118, 44-20-74369001""",https://www.seatguru.com//airlines/China_Airlines/information.php
China Eastern (MU),"""010-64681166, 010-64681166, 1-866-588-0825, +44-121-281-3380""",https://www.seatguru.com//airlines/China_Eastern/information.php
China Southern (CZ),"""020-95539 , 020-95539 , 0097-142218888""",https://www.seatguru.com//airlines/China_Southern/information.php
Condor (DE),"""+49 (0) 180 6 767767, +49 (0) 180 6 767767, +33 (0) 825742352, +49 (0) 6171 6988920, 1-866-960-7915, +34 (0) 902 517300""",https://www.seatguru.com//airlines/Condor_Flugdienst/information.php
Copa Airlines (CM),"""713-952-1630, 713-952-1630, 44 (0)870 2414126""",https://www.seatguru.com//airlines/Copa_Airlines/information.php
Croatia Airlines (OU),"""+385 1 66 76 555, +385 1 66 76 555, +32 2 753 5132, +387 33 789 600, +385 072 500 505, +33 1 48 16 40 00, +49 69 92 00 520, +39 06 5421 0021, +389 2 3148 390, +41 44 2610 840, +44 0844 371 0310""",https://www.seatguru.com//airlines/Croatia_Airlines/information.php
Czech Airlines (OK),"""+420 239 007 007 , +420 239 007 007 , +1 855 359 2932""",https://www.seatguru.com//airlines/Czech_Airlines/information.php
Delta (DL),"""1-800-325-1999, 1-800-325-1999, 1-800-831-4488, 1-800-241-4141, 1-800-221-1212, 0845-600-0950, 1-800-933-5935, 1-800-323-2323""",https://www.seatguru.com//airlines/Delta_Airlines/information.php
easyJet (U2),"""+44-871-244-2366, +44-871-244-2366""",https://www.seatguru.com//airlines/EasyJet_Airlines/information.php
Edelweiss Air (WK),"""+41 (0) 848 333 593, +41 (0) 848 333 593, +1 877 359 7947, +1 877 359 7947""",https://www.seatguru.com//airlines/Edelweiss/information.php
Egyptair (MS),"""+1 416 960 2441, +1 416 960 2441, +20 0900 70000, +44 0844 822 1110, +1 800 334 6787""",https://www.seatguru.com//airlines/Egyptair/information.php
EL AL (LY),"""+972-3-9771111, +972-3-9771111, 212-852-0600, 44 (207) 121-1400""",https://www.seatguru.com//airlines/El_Al/information.php
Emirates (EK),"""4-214-4444, 4-214-4444, 1-800-777-3999, +44 844 800 2777, 1-800-762-9775, +44 844 800 2777""",https://www.seatguru.com//airlines/Emirates_Airlines/information.php
Ethiopian Airlines (ET),"""+43 125 302 2575, +43 125 302 2575, +55 113 181 3958, +1 800 445 2733, +86 400 807 1787, +20 800 000 0411, +251 116 656 666, +33 0800 901 031, +49 800 181 8982, +852 800 905 629, +66 338 134 14, +60 392 121 819, +63 1 800 111 020 72, +966 800 814 0018, +27 0800 984 023, +34 912 788 672, +46 850 513 549, +66 001800 156 206 9708, +1 800 445 2733, +44 0800 016 3449, +251 116 656 666""",https://www.seatguru.com//airlines/Ethiopian_Airlines/information.php
Etihad (EY),"""800-2277, 800-2277, 1 888 8 ETIHAD, +44 (0) 800 731 9384""",https://www.seatguru.com//airlines/Etihad_Airways/information.php
Eurowings (EW),"""+49 221 59988277, +49 221 59988277, +49 221 59988239, +49 221 59988205, +49 221 59988214, +49 221 59988218, +49 221 59988286, +49 221 59988260, +49 221 59988238, +49 221 59988277, +49 221 59988233, +49 180 6 320 320, +49 221 59988250, +49 221 59988281, +49 221 59988224, +49 221 59988223, +49 221 59988230, +49 221 59988285, +49 221 59988215, +49 221 59988276, +49 221 59988200, +49 221 59988239, +49 221 59988290, +49 221 59988254, +49 221 59988213, +49 221 59988216, 900 649635, 900 649636, 900 649637, +49 221 59988240, +49 221 59988201, +49 221 59988275, +49 221 59988282, +49 221 59988222, +49 221 59988202""",https://www.seatguru.com//airlines/Eurowings_Airlines/information.php
EVA Air (BR),"""+886-3-3516431, +886-3-3516431, 1-800-695-1188, 44-20-7380-8300""",https://www.seatguru.com//airlines/Eva_Airways/information.php
Fiji Airways (FJ),"""+679-672-0888, +679-672-0888, 800 227 4446, +44 1206 264283""",https://www.seatguru.com//airlines/Fiji_Airways/information.php
Finnair (AY),"""+358-9-818-0800, +358-9-818-0800, +1 877-757-7143, +44 (0) 208 0 01010""",https://www.seatguru.com//airlines/Finnair/information.php
flydubai (FZ),"""+7 8 800 555 2833, +7 8 800 555 2833, +92 111 2255 39, +966 9200 15566, +971 600 544 445""",https://www.seatguru.com//airlines/flydubai/information.php
FlyOne (5F),"""+373 22 100003, +373 22 100003""",https://www.seatguru.com//airlines/FlyOne/information.php
French bee (BF),"""+33 825 20 52 05 , +33 825 20 52 05 , +689 40 42 90 90, +1 833 376 7158""",https://www.seatguru.com//airlines/French_bee_Airlines/information.php
Frontier (F9),"""1-800-432-1FLY, 1-800-432-1FLY, 1-866-26-EARLY, 1-800-432-1FLY""",https://www.seatguru.com//airlines/Frontier_Airlines/information.php
Garuda Indonesia (GA),"""011 62 21 23519999, 011 62 21 23519999""",https://www.seatguru.com//airlines/Garuda_Indonesia/information.php
Gol (G3),"""""",https://www.seatguru.com//airlines/GOL/information.php
Gulf Air (GF),"""+973 1737 3737, +973 1737 3737, +1 888 359 4853, +33 1 4952 4141, +965 2224 3777, +968 2477 5000, +92 021 3565 4483, +974 4499 8000, +966 013 510 9595, +1 888 359 4853, +971 02 6516888, +44 084 4493 1717""",https://www.seatguru.com//airlines/Gulf_Air/information.php
Hainan Airlines (HU),"""0086-898-950717, 0086-898-950717, 1-888-688-8813""",https://www.seatguru.com//airlines/Hainan_Airlines/information.php
Hawaiian Airlines (HA),"""+1 684 699 1875, +1 684 699 1875, +61 1 300 661 339, +86 10 6502 6766, +33 1 53 89 77 71, +49 0900 5107450, +62 21 3483 1707, +81 0570 018 011, +82 02 775 5552, +64 09 977 2227, +63 02 518 5933, +65 6223 8377, +689 40 866 000, +66 02 231 6481, +44 0207 644 8848, +1 800 367 5320, +84 024 39 330 828, +84 028 39 330 828""",https://www.seatguru.com//airlines/Hawaiian_Airlines/information.php
Helvetic Airways (2L),"""+41 44 270 85 00, +41 44 270 85 00""",https://www.seatguru.com//airlines/Helvetic_Airways/information.php
HK Express (UO),"""(852) 3902 0288, (852) 3902 0288, 855-298-4316""",https://www.seatguru.com//airlines/Hong_Kong_Express/information.php
Hong Kong Airlines (HX),"""+852 3713 1388, +852 3713 1388, +86 950715  , +61 29009 7988  , +852 3916 3666  , +1 855 393 3880  , +1 855 393 3880, +64 9913 4177  , +0080 1853033""",https://www.seatguru.com//airlines/Hong_Kong_Airlines/information.php
Iberia (IB),"""1-800-772-4642, 1-800-772-4642, 1-800-772-4642""",https://www.seatguru.com//airlines/Iberia/information.php
Icelandair (FI),"""1-800-223-5500 ext. 1, 1-800-223-5500 ext. 1, 1-800-223-5500 ext. 2 prompt 1, 1-800-757-7242""",https://www.seatguru.com//airlines/Icelandair/information.php
IndiGo Airlines (6E),"""1-800-180-3838, 1-800-180-3838, 0-9910-383838""",https://www.seatguru.com//airlines/IndiGo/information.php
InterJet (4O),"""1 866 285 9525, 1 866 285 9525, 1102 55 55, 01 01800 12345""",https://www.seatguru.com//airlines/Interjet/information.php
Japan Airlines (JL),"""0120-25-5931, 0120-25-5931, 0120-747-039""",https://www.seatguru.com//airlines/Japan_Airlines/information.php
Jeju Air (7C),"""Jeju 2006-125 , Jeju 2006-125 , 616-81-50527 , 1599-1500""",https://www.seatguru.com//airlines/Jeju_Air/information.php
Jet2 (LS),"""+43 800 9097 20, +43 800 9097 20, +33 821 230 203, +49 1803 511 111, +39 199 404 023, +44 (0)203 059 8337, +34 935 452 395, 0333 300 0042, 00 44 203 059 8336, +44 (0)203 059 8337""",https://www.seatguru.com//airlines/Jet2com/information.php
JetBlue (B6),"""1-800-336-5530""",https://www.seatguru.com//airlines/JetBlue_Airways/information.php
Jetstar (JQ),"""131-538 (+61 3 9092 6500), 131-538 (+61 3 9092 6500), +0800-800-995 (+61 3 8341 4901), +1866-397-8170""",https://www.seatguru.com//airlines/Jetstar/information.php
Jin Air (LJ),"""+82-1600-6200, +82-1600-6200, +82-2-6099-1200""",https://www.seatguru.com//airlines/Jin_Air/information.php
Kenya Airways (KQ),"""+254 20 327 4747, +254 20 327 4747""",https://www.seatguru.com//airlines/Kenya_Airways/information.php
KLM (KL),"""+31-0-20-4-747-747, +31-0-20-4-747-747, 1-800-225-2525""",https://www.seatguru.com//airlines/KLM/information.php
Korean Air (KE),"""1-800-438-5000, 1-800-438-5000, 1-800-438-5000""",https://www.seatguru.com//airlines/Korean_Air/information.php
Kulula (MN),"""+27 11 921 0500, +27 11 921 0500,  0861 58 58 52""",https://www.seatguru.com//airlines/Comair_Limited/information.php
La Compagnie (B0),"""+33 0 892 230 240, +33 0 892 230 240, 1 800 218 8187""",https://www.seatguru.com//airlines/La_Compagnie/information.php
LATAM (LA),"""0810 9999 526, 0810 9999 526, 1800 126 038, 4002 5700, 600 526 2000, 1 800 094 9490, 1800 000527, 0821 231 554, 0 8006270976, 06 99748005, 01800 2720330, 0 800 700 647, +56 2 2687 2400, 21 451 535, 01 213 8200, 902 11 24 24, 1 866 435 9526, 000 4019 0223""",https://www.seatguru.com//airlines/LATAM_Chile/information.php
Lion Airlines (JT),"""(+6221) 633 8345, (+6221) 633 8345, (+6280) 4177 8899, (+6221) 6379 8000, (+60) 03-7841 5333, (+65) 6339 1922""",https://www.seatguru.com//airlines/Lion_Air/information.php
LOT Polish Airlines (LO),"""+48-22-606111, +48-22-5777-222, 1-800-581-6400, +48-0-801-703-703, 1-212-789-0970""",https://www.seatguru.com//airlines/LOT_Polish_Airlines/information.php
Lufthansa (LH),"""01805-59-59, 01805-59-59, 1-800-581-6400, +49 69 86 799 799, 1-800-645-3880 """,https://www.seatguru.com//airlines/Lufthansa/information.php
Luxair (LG),"""00800 2456 4242, 00800 2456 4242""",https://www.seatguru.com//airlines/Luxair/information.php
Malaysia Airlines (MH),"""+61 13 26 27, +61 13 26 27, 1 300 88 3000, +65 6723 1009, +1 800 552 9264, +44 0 20 8976 5063, +603 7843 3000""",https://www.seatguru.com//airlines/Malaysia_Airlines/information.php
Mango (JE),"""+27 (11) 086 6100, +27 (11) 086 6100, +27 (21) 815 4100, 086 100 1234""",https://www.seatguru.com//airlines/Mango/information.php
Middle East Airlines (ME),"""+961 1 629999, +961 1 629999, +1 800 491 2741""",https://www.seatguru.com//airlines/Middle_East_Airlines/information.php
Nok Air (DD),"""662-900-9955, 662-238-3399""",https://www.seatguru.com//airlines/Nok_Air/information.php
Nordwind Airlines (N4),"""+7 (495) 730-43-30, +7 (495) 730-43-30, +7 (495) 730-50-80""",https://www.seatguru.com//airlines/Nordwind_Airlines/information.php
Norwegian Air International (D8),"""1-800-357-4159, 1-800-357-4159, +47 21 00 40 20""",https://www.seatguru.com//airlines/Djibouti_Air/information.php
Norwegian Air Shuttle (DY),"""+44 (0)208 099 7254, +44 (0)208 099 7254, 18003574159""",https://www.seatguru.com//airlines/Norwegian_Air_Shuttle/information.php
Norwegian Air Sweden (LE),"""1-800-357-4159, 1-800-357-4159""",https://www.seatguru.com//airlines/Norwegian_Air_Sweden/information.php
Norwegian Air UK (DI),"""+47 21 51 81 71., +47 21 51 81 71.""",https://www.seatguru.com//airlines/Norwegian_Air_UK/information.php
Oman Air (WY),"""+968-2453-1111, +968-2453-1111, +968-24765165""",https://www.seatguru.com//airlines/Oman_Air/information.php
Pakistan International Airlines (PK),"""+1 844 315 5983, +1 844 315 5983, +33 800 90 0561, +966 800 850 0150 , +971 8000 914 0002, +44 808 234 6321, +1 844 682 5260, +92 21 111 786 786""",https://www.seatguru.com//airlines/Pakistan_International/information.php
Peach (MM),"""03-4580-8181, 03-4580-8181""",https://www.seatguru.com//airlines/Peach/information.php
Pegasus Airlines (PC),"""+49 0 69120063505, +49 0 69120063505, +44 0 3333003555, +1 0090 850 250 67 77, +1 0090 850 250 67 77""",https://www.seatguru.com//airlines/Pegasus_Airlines/information.php
Philippine Airlines (PR),"""1-632-817-8000, 1-632-817-8000, 1-800-747-1959, 1-632-855-8888""",https://www.seatguru.com//airlines/Philippine_Airlines/information.php
Porter (PD),"""416-619-8622, 416-619-8622, 888-619-8622""",https://www.seatguru.com//airlines/Porter_Airlines/information.php
Qantas (QF),"""0477 726 827, 0477 726 827, 0800-101-500, 1-800-227-4220, 1-800-652-660, 0477 726 827, 0800-808-767, 0845-747-767, 1-800-227-4500""",https://www.seatguru.com//airlines/Qantas_Airways/information.php
Qatar Airways (QR),"""1-877-777-2827, 1-877-777-2827""",https://www.seatguru.com//airlines/Qatar_Airways/information.php
Regional Express (ZL),"""+61 2 6393 5550, +61 2 6393 5550, 13 17 13""",https://www.seatguru.com//airlines/Regional_Express/information.php
Rossiya - Russian Airlines (FV),"""8 495 139 77 77, 8 495 139 77 77, 8 812 633 36 77, +7 8 800 44 55 55""",https://www.seatguru.com//airlines/Rossiya/information.php
Royal Air Maroc (AT),"""+212 089000 0700, +212 089000 0700, +1 514 907 5353, +33 0820 821 821, +212 5 22 48 97 97, +49 0699 200 14 61, +212 089000 0800, +44 020 730 758 00, +1 800 344 6726""",https://www.seatguru.com//airlines/Royal_Air_Maroc/information.php
Royal Brunei (BI),"""+61 3 8651 1000, +61 3 8651 1000, +673 221 2222, +971 04 3344884, +852 2529 3883, +62 21 520 6338, +60 3 20707166, +63 02 886 7513, +966 00973 213434, +66 2 6383050, +44 2075 846660, +84 8 3820 7327""",https://www.seatguru.com//airlines/Royal_Brunei/information.php
Royal Jordanian (RJ),"""""",https://www.seatguru.com//airlines/Royal_Jordanian/information.php
RwandAir (WB),"""+61 2 8248 0050, +61 2 8248 0050, +32 2 712 64 28, +229 95 202 623, +257 222 51850, +237 691 495 986, +86 20 8370 1079, +243 971 135 280, +971 43 555 013, +241 01 76 48 82, +233 302 797 486, +91 22 4203 4203, +225 20 21 82 50, +254 20 222 0918, +234 070 1000 1530, +250 788 177 000, +221 338 224 959, +27 21 202 1193, +27 11 289 8050, +255 732 978 558, +44 0 1293 874 922, +250 788 177 000, +260 968 34 5259""",https://www.seatguru.com//airlines/RwandAir/information.php
Ryanair (FR),"""0871-246-0000, 0871-246-0000, 0818-30-30-30, +353-1-2480856""",https://www.seatguru.com//airlines/Ryanair/information.php
S7 Airlines (S7),"""""",https://www.seatguru.com//airlines/S7/information.php
SAS (SK),"""1-800-437-5807, 1-800-437-5807, 1-800-221-2350""",https://www.seatguru.com//airlines/SAS_Airlines/information.php
Saudia (SV),"""08712004433, 08712004433, 1-800-472-8342, 920022222""",https://www.seatguru.com//airlines/Saudia/information.php
Scoot Airlines (TZ),"""+65 3158 3388, +65 3158 3388""",https://www.seatguru.com//airlines/Scoot_Airlines/information.php
Shanghai Airlines (FM),"""010-64681166, 010-64681166, 1-866-588-0825, +44-121-281-3380""",https://www.seatguru.com//airlines/Shanghai_Airlines/information.php
Silkair (MI),"""+65 6223 8888, +65 6223 8888, +1 800 742 3333""",https://www.seatguru.com//airlines/SilkAir/information.php
Silver (3M),"""+1 866 359 8784, +1 866 359 8784, +1 844 674 5837, +1 801 401 9100""",https://www.seatguru.com//airlines/Silver_Airways/information.php
Singapore Airlines (SQ),"""1-800-742-3333, 1-800-742-3333, 1-800-742-3333""",https://www.seatguru.com//airlines/Singapore_Air/information.php
Skylanes (86),"""""",https://www.seatguru.com//airlines/Skylanes/information.php
South African Airways (SA),"""1-800-722-9675, 1-800-722-9675, 1-800-722-9675, 1-800-359-7220""",https://www.seatguru.com//airlines/South_African_Airways/information.php
Southwest (WN),"""1-800-533-1305, 1-800-445-5764""",https://www.seatguru.com//airlines/Southwest_Airlines/information.php
SpiceJet (SG),"""+91 987 180 3333, +91 987 180 3333""",https://www.seatguru.com//airlines/SpiceJet/information.php
Spirit (NK),"""1-801-401-2222, 1-801-401-2222, 1-801-401-2222""",https://www.seatguru.com//airlines/Spirit_Airlines/information.php
Spring Airlines (9C),"""(+86 21) 95 524, (+86 21) 95 524""",https://www.seatguru.com//airlines/Spring_Airlines/information.php
Spring Japan (IJ),"""0570-666-118, 0570-666-118""",https://www.seatguru.com//airlines/Spring_Japan_Airlines/information.php
SriLankan Airlines (UL),"""""",https://www.seatguru.com//airlines/SriLankan_Airlines/information.php
Sun Country (SY),"""1-800-800-6557, 1-800-800-6557, 1-800-359-6786, 1-800-359-6786""",https://www.seatguru.com//airlines/Sun_Country/information.php
Sunclass Airlines (DK),"""+45 70 10 42 00, +45 70 10 42 00, +358 09 123 71, +47 915 08 888, +46 0771 995 995, +45 32 47 76 72""",https://www.seatguru.com//airlines/Sunclass_Airlines/information.php
Sunwing (WG),"""1 (888) 307-2523, 1 (888) 307-2523""",https://www.seatguru.com//airlines/Sunwing_Airlines/information.php
SWISS (LX),"""+1 877 359 7947, +1 877 359 7947, +1 877 359 7947""",https://www.seatguru.com//airlines/Swiss_Airlines/information.php
Swoop (WO),"""+1 587 441 1001, +1 587 441 1001, +1 587 441 1009""",https://www.seatguru.com//airlines/Swoop_Airlines/information.php
TAAG (DT),"""+244 9231 90 000, +244 9231 90 000, +32 2 512 99 04, +55 21 2206 3072, +33 01 70 64 46 76, +264 061 22 6625, +31 0 20 31 61 916, +351 707 100 040, +244 9231 90 000, +260 978 402 013""",https://www.seatguru.com//airlines/TAAG_Angola_Airlines/information.php
