"Aircraft Name","Company Name","Contact Number",url
"1988 Dassault Falcon 900B","Skyservice Business Aviation, Inc.","""403-592-3715, 403-671-2178""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5923/1988-dassault-falcon-900b
"1988 Dassault Falcon 900","CFS Jets","""423-667-2222""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5999/1988-dassault-falcon-900
"1989 Gulfstream G-IV","Guardian Jet, LLC","""+1 203.453.0800""",https://aircraftexchange.com/jet-aircraft-for-sale/details/4484/1989-gulfstream-g-iv
"1989 Bombardier Learjet 35A","Aerolineas Ejecutivas S.A. de C.V.","""+52 5542090220, +52 8229909246""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5284/1989-bombardier-learjet-35
"1989 Dassault Falcon 900B","Avpro, Inc.","""410.573.1515, 724.875.9833""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6374/1989-dassault-falcon-900b
"1990 Cessna Citation V","Meisner Aircraft, Inc.","""262-763-6600, 262-208-6277""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6296/1990-cessna-citation-v
"1990 Gulfstream G-IV",JetTransactions,"""+1 818.429.5389""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6303/1990-gulfstream-g-iv
"1990 Gulfstream G-IV","Guardian Jet, LLC","""203-453-0800""",https://aircraftexchange.com/jet-aircraft-for-sale/details/4488/1990-gulfstream-g-iv
"1990 Dassault Falcon 900","Leading Edge Aviation Solutions, LLC","""8036006404""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5970/1990-dassault-falcon-900
"1990 Gulfstream G-IV",Jetcraft,"""+1 919.941.8400""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5979/1990-gulfstream-g-iv
"1991 Beechcraft King Air C90A","Aerolineas Ejecutivas S.A. de C.V.","""+52 722 620 7472""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5975/1991-beechcraft-king-air-c90
"1991 Dassault Falcon 50","Southern Cross Aircraft, LLC","""(954) 377-0320, (704) 562-8490""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6097/1991-dassault-falcon-50
"1991 Beechcraft King Air B200",JETAVIVA,"""+1 512.410.0295""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6277/1991-beechcraft-king-air-b200
"1991 Beechcraft King Air C90A","Gantt Aviation, Inc.","""512-863-5537, 512-818-9936""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6310/1991-beechcraft-king-air-c90
"1991 Dassault Falcon 900B","Dallas Jet International","""817-520-4009, 817-291-0711""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6375/1991-dassault-falcon-900b
"1991 Dassault Falcon 900B","General Aviation Services, LLC","""+1 847.726.5000""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5719/1991-dassault-falcon-900b
"1991 Astra/Gulfstream 1125 Astra SP","Leviate Air Group","""+1 919.475.8506, +1 919.475.8506""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5805/1991-astragulfstream-1125-astra-sp
"1992 Dassault Falcon 900B","West Elk Aircraft","""""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6272/1992-dassault-falcon-900b
"1992 Bombardier Challenger 601 - 3AER","Dallas Jet International","""817-520-4009, 817-291-0711""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6034/1992-bombardier-challenger-601
"1993 Beechjet 400A","Jeteffect, Inc.","""561-747-2223, 561-529-0606""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6054/1993-beechjet-400a
"1993 Cessna Citation II",ACASS,"""+1 514.636.1099""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6170/1993-cessna-citation-ii
"1993 Beechcraft King Air B300",JetHQ,"""8583979773""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5290/1993-beechcraft-king-air-b300
"1994 Bombardier Learjet 31A","CFS Jets","""423-667-2222""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5950/1994-bombardier-learjet-31
"1994 Bombardier Learjet 31A","Aerolineas Ejecutivas S.A. de C.V.","""+52 722 620 7472""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5969/1994-bombardier-learjet-31
"1994 Gulfstream G-IV SP",JETAVIVA,"""239-451-0420""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5549/1994-gulfstream-g-iv-sp
"1994 Cessna Citation CJ","Jet Access Group","""+1.765.621.1414""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5567/1994-cessna-citation-cj
"1995 Beechcraft King Air C90SE",JetHQ,"""+1 858.397.9773""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5681/1995-beechcraft-king-air-c90
"1995 Cessna Citation Ultra","Elliott Jets","""952-944-1200, 612-787-5676""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6043/1995-cessna-citation-ultra
"1995 Gulfstream G-IV SP","QS Partners","""614-270-3467""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6371/1995-gulfstream-g-iv-sp
"1996 Piper Malibu Mirage JetPROP DLX",JETAVIVA,"""+1 903.812.0540""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6324/1996-piper-malibu-mirage-jetprop-dlx
"1996 Hawker 800XP","Jet Access Group","""+1.765.621.1414""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5754/1996-hawker-800xp
"1996 Beechcraft King Air C90B","Holstein Aviation, Inc","""317-815-9403, 317-605-5955""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6142/1996-beechcraft-king-air-c90
"1996 Gulfstream G-IV SP","Avpro, Inc.","""410.573.1515, 724.875.9833""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6245/1996-gulfstream-g-iv-sp
"1996 Beechcraft King Air 350","Holstein Aviation, Inc","""317-815-9403, 316-841-5833""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6113/1996-beechcraft-king-air-350
"1997 Cessna Citation CJ","JBA Aviation, Inc.","""(918) 834-9100, (918) 630-4548""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6102/1997-cessna-citation-cj
"1997 Astra/Gulfstream 1125 Astra SPX","Dallas Jet International","""817-520-4009, 817-291-0711""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5739/1997-astragulfstream-1125-astra-spx
"1997 Dassault Falcon 50EX",JETAVIVA,"""239-451-0420""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5841/1997-dassault-falcon-50ex
"1997 Dassault Falcon 2000","Avpro, Inc.","""410-573-1515, 443-994-0533""",https://aircraftexchange.com/jet-aircraft-for-sale/details/4940/1997-dassault-falcon-2000
"1997 Gulfstream G-V","Skyservice Business Aviation, Inc.","""403-592-3715, 403-671-2178""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5059/1997-gulfstream-g-v
"1997 Gulfstream G-IV SP","Dallas Jet International","""817-520-4009, 817-291-0711""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5437/1997-gulfstream-g-iv-sp
"1997 Bombardier Challenger 604","Guardian Jet, LLC","""203-453-0800, 203-915-4427""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5512/1997-bombardier-challenger-604
"1997 Hawker 800XP","Omni Aircraft Sales","""7703097277""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6200/1997-hawker-800xp
"1998 Beechcraft King Air 350",JetHQ,"""8583979773""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5596/1998-beechcraft-king-air-350
"1998 Gulfstream G-V",JetHQ,"""8583979773""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5599/1998-gulfstream-g-v
"1998 Beechcraft King Air 350","Eagle Aviation","""803-822-5526, 803-429-7408""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6326/1998-beechcraft-king-air-350
"1998 Cessna 182S Skylane","Eagle Aviation","""803-261-4782""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6391/1998-cessna-182s-skylane
"1998 Beechcraft King Air 350","Oshman Aviation","""1.817.661.0234, 1.214.683.4112""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5967/1998-beechcraft-king-air-350
"1998 Beechcraft King Air C90B","Axis Jet","""+1 916.391.5000""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5359/1998-beechcraft-king-air-c90
"1999 Bombardier Challenger 850","Eagle Aviation","""336-406-6947""",https://aircraftexchange.com/jet-aircraft-for-sale/details/3937/1999-bombardier-challenger-850
"1999 Cessna Citation X",Jetcraft,"""+1 919.941.8400""",https://aircraftexchange.com/jet-aircraft-for-sale/details/4965/1999-cessna-citation-x
"1999 Hawker 800XP","Jeteffect, Inc.","""214-451-6953, 214-957-9238""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5140/1999-hawker-800xp
"1999 Bombardier Challenger 604",Jetcraft,"""+1 919.941.8400""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5191/1999-bombardier-challenger-604
"1999 Gulfstream G-V",Jetcraft,"""+1 919.941.8400""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5422/1999-gulfstream-g-v
"1999 Bombardier Learjet 45","Leviate Air Group","""+1 919.475.8506, +1 919.475.8506""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5470/1999-bombardier-learjet-45
"1999 Bombardier Learjet 45",JetHQ,"""8583979773""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6343/1999-bombardier-learjet-45
"1999 Dassault Falcon 900EX",JetHQ,"""8583979773""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6384/1999-dassault-falcon-900ex
"1999 Dassault Falcon 900EX","QS Partners","""614-270-3467""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6121/1999-dassault-falcon-900ex
"1999 Bombardier Learjet 45","Leviate Air Group","""+1 877.407.8507, +1 214.676.6975""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6182/1999-bombardier-learjet-45
"1999 Gulfstream G-V","Guardian Jet, LLC","""203-453-0800, 203-915-4427""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6204/1999-gulfstream-g-v
"1999 Dassault Falcon 2000",JetHQ,"""8583979773""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6222/1999-dassault-falcon-2000
"1999 Hawker 800XP","Jet Access Group","""+1.765.621.1414""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6239/1999-hawker-800xp
"1999 Gulfstream G-V",JetTransactions,"""805-484-6605""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5595/1999-gulfstream-g-v
"1999 Gulfstream G-V","Dallas Jet International","""817-520-4009, 817-291-0711""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5615/1999-gulfstream-g-v
"1999 Bombardier Learjet 45","Wetzel Aviation, Inc.","""303-468-4800, 303-517-4822""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5637/1999-bombardier-learjet-45
"1999 Dassault Falcon 2000","Dallas Jet International","""+1 817.991.1204""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5648/1999-dassault-falcon-2000
"1999 Gulfstream G-V",JetHQ,"""8583979773""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5697/1999-gulfstream-g-v
"1999 Cessna Citation X","Textron Aviation","""316.517.2397, 316.708.5375""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5968/1999-cessna-citation-x
"2000 Cessna Citation Excel","5x5 Trading","""855-359-8760, 312-208-4908""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5944/2000-cessna-citation-excel
"2000 Cessna Citation X","5x5 Trading","""952-297-4043, 952-297-4043""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5945/2000-cessna-citation-x
"2000 Gulfstream G200",JETAVIVA,"""+1 512.410.0295""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5991/2000-gulfstream-g200
"2000 Gulfstream G200","Swartz Aviation Group, LLC.","""9404552900, 817-995-4234""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6018/2000-gulfstream-g200
"2000 Bombardier Learjet 45","Southern Cross Aircraft, LLC","""954-377-0303, 954-328-0935""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6028/2000-bombardier-learjet-45
"2000 Bombardier Challenger 604","Leviate Air Group","""+1 773.251.8589""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6119/2000-bombardier-challenger-604
"2000 Cessna Citation Bravo","QS Partners","""614 264 3274""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6190/2000-cessna-citation-bravo
"2000 Cirrus SR20","Lone Mountain Aircraft","""+1 248.924.8600""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6211/2000-cirrus-sr20
"2000 Cessna Citation VII","FX Solutions","""216-797-8523, 216-536-9135""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6228/2000-cessna-citation-vii
"2000 Gulfstream G-V","Avpro, Inc.","""410.573.1515, 724.875.9833""",https://aircraftexchange.com/jet-aircraft-for-sale/details/4698/2000-gulfstream-g-v
"2000 Dassault Falcon 900EX","Skyservice Business Aviation, Inc.","""403-592-3715, 403-671-2178""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5262/2000-dassault-falcon-900ex
"2000 Bombardier Challenger 604",Bombardier,"""514-855-0187, 514-242-5510""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5381/2000-bombardier-challenger-604
"2000 Gulfstream G-IV SP",Jetcraft,"""919-941-8400""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6298/2000-gulfstream-g-iv-sp
"2000 Cirrus SR20","Lone Mountain Aircraft","""702-285-0604""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6345/2000-cirrus-sr20
"2000 Cessna Citation CJ2","Meisner Aircraft, Inc.","""262-763-6600, 262-208-6277""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6360/2000-cessna-citation-cj2
"2000 Bombardier Challenger 604","Opus Aero","""+33 (0) 607 939 536""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6361/2000-bombardier-challenger-604
"2000 Cessna Citation Excel",JETAVIVA,"""+1 512.410.0295, +1 913.515.2515""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6376/2000-cessna-citation-excel
"2000 Gulfstream G-V",JetTransactions,"""805-484-6605""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5677/2000-gulfstream-g-v
"2000 MD Helicopters MD600N","ASIAN SKY GROUP","""852 91997751""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5712/2000-md-helicopters-md600n
"2000 Bombardier Challenger 604",ACASS,"""+1 514.636.1099""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5823/2000-bombardier-challenger-604
"2001 Gulfstream G-IV SP",Jetcraft,"""+1 919.941.8400""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5720/2001-gulfstream-g-iv-sp
"2001 Cessna Citation CJ1",Jetcraft,"""919-941-8400""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5850/2001-cessna-citation-cj1
"2001 Bombardier Challenger 604",JETAVIVA,"""239-451-0420""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5865/2001-bombardier-challenger-604
"2001 Bombardier Learjet 60","Jeteffect, Inc.","""561-747-2223, 561-762-7171""",https://aircraftexchange.com/jet-aircraft-for-sale/details/4761/2001-bombardier-learjet-60
"2001 Gulfstream G-V","Guardian Jet, LLC","""725-600-1812""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5102/2001-gulfstream-g-v
"2001 Piper Meridian","Lone Mountain Aircraft","""248-924-7280""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5425/2001-piper-meridian
"2001 Bombardier Global Express",Jetcraft,"""919-941-8400""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5966/2001-bombardier-global-express
"2001 Bombardier Learjet 45","Guardian Jet, LLC","""203-453-0800, 203-843-3684""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5980/2001-bombardier-learjet-45
"2001 Cessna Citation Excel","Leviate Air Group","""815-861-9944""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6037/2001-cessna-citation-excel
"2001 Gulfstream G-IV SP",Jetcraft,"""919-941-8400""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6153/2001-gulfstream-g-iv-sp
"2001 Bombardier Global Express","Leading Edge Aviation Solutions, LLC","""201-891-0881, 862-222-0820""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6155/2001-bombardier-global-express
"2001 Bombardier Learjet 45","Dallas Jet International","""214-766-3915, 214-766-3915""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6240/2001-bombardier-learjet-45
"2001 Dassault Falcon 50EX","Avpro, Inc.","""410-573-1515, 443-994-0533""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6292/2001-dassault-falcon-50ex
"2001 Gulfstream G-IV SP","Leading Edge Aviation Solutions, LLC","""201-891-0881, 862-222-0820""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6350/2001-gulfstream-g-iv-sp
"2002 Hawker 800XP","Leviate Air Group","""8774078507, 3073776767""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6321/2002-hawker-800xp
"2002 Beechcraft King Air 350","Wetzel Aviation, Inc.","""303-468-4800, 303-884-8903""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6329/2002-beechcraft-king-air-350
"2002 Gulfstream G-IV SP","Guardian Jet, LLC","""203-453-0800, 203-843-8822""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6106/2002-gulfstream-g-iv-sp
"2002 Cessna Citation Excel",SOLJETS,"""+1 847.920.7000""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6110/2002-cessna-citation-excel
"2002 Bombardier Global Express",Jetcraft,"""+1 919.941.8400""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5623/2002-bombardier-global-express
"2002 Cessna Citation Bravo","CFS Jets","""423-667-2222""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5820/2002-cessna-citation-bravo
"2002 Bombardier Global Express",JetHQ,"""+1 858.397.9773""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5854/2002-bombardier-global-express
"2002 Hawker 800XP","CFS Jets","""423-667-2222""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5912/2002-hawker-800xp
"2002 Cessna Citation Encore","Avpro, Inc.","""410-573-1515, 410-979-2734""",https://aircraftexchange.com/jet-aircraft-for-sale/details/4596/2002-cessna-citation-encore
"2002 Beechcraft King Air 350",ACASS,"""+1 514.636.1099""",https://aircraftexchange.com/jet-aircraft-for-sale/details/4831/2002-beechcraft-king-air-350
"2002 Beechcraft Premier 1","Jeteffect, Inc.","""562-989-8800, 714-585-4703""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5265/2002-beechcraft-premier-1
"2002 Cessna Citation Bravo","Jet Access Group","""+1.765.621.1414""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5291/2002-cessna-citation-bravo
"2002 Hawker 800XP","Dallas Jet International","""817-520-4009, 817-291-0711""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5354/2002-hawker-800xp
"2002 Cessna Citation Excel","Jeteffect, Inc.","""561-747-2223, 561-747-2223""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6220/2002-cessna-citation-excel
"2002 Bombardier Challenger 604","Dallas Jet International","""214-766-3915, 214-766-3915""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6241/2002-bombardier-challenger-604
"2002 Pilatus PC-12",SOLJETS,"""+1 847.920.7000""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6265/2002-pilatus-pc-12
"2003 Cirrus SR20","Lone Mountain Aircraft","""+1 317.908.4569""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6172/2003-cirrus-sr20
"2003 Dassault Falcon 900EX EASy","QS Partners","""614-270-3467""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6227/2003-dassault-falcon-900ex
"2003 Cessna Citation CJ2",JETAVIVA,"""513.818.6145""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6242/2003-cessna-citation-cj2
"2003 Bombardier Challenger 604","Guardian Jet, LLC","""203-453-0800, 203-843-3684""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6253/2003-bombardier-challenger-604
"2003 Cessna Citation CJ2","Avpro, Inc.","""410-573-1515, 410-979-2734""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6257/2003-cessna-citation-cj2
"2003 Hawker 800XP","Jet Access Group","""+1.765.621.1414""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5729/2003-hawker-800xp
"2003 Piper Saratoga 6XTC","Eagle Aviation","""803-261-4782""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5732/2003-piper-saratoga-6xtc
"2003 Bombardier Global Express",Jetcraft,"""+1 919.941.8400""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5750/2003-bombardier-global-express
"2003 Cessna Citation CJ1",Jetcraft,"""919-941-8400""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5851/2003-cessna-citation-cj1
"2003 Dassault Falcon 2000","Guardian Jet, LLC","""203-453-0800""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5911/2003-dassault-falcon-2000
"2003 Hawker 800XP","QS Partners","""614 338 9532""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6404/2003-hawker-800xp
"2003 Cessna Citation X","Northern Jet, Inc.","""+1 616.283.3551, +1 616.283.3551""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6023/2003-cessna-citation-x
"2003 Hawker 800XP","Aerolineas Ejecutivas S.A. de C.V.","""+52 722 620 7472""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6029/2003-hawker-800xp
"2003 Gulfstream G550","Avpro, Inc.","""410.573.1515, 724.875.9833""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6030/2003-gulfstream-g550
"2003 Cessna Citation CJ2","Hatt & Associates, LLC","""(612) 719-8323""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6074/2003-cessna-citation-cj2
"2003 Beechcraft Premier 1",JetHQ,"""+1 858.397.9773""",https://aircraftexchange.com/jet-aircraft-for-sale/details/4926/2003-beechcraft-premier-1
"2003 Cessna Citation CJ2","Atlas Air Service AG","""+49 42153658712, +49 15222804649""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5454/2003-cessna-citation-cj2
"2004 Bombardier Challenger 604","Stanton & Partners Aviation","""+971.45.686.116, +971.50.880.3819""",https://aircraftexchange.com/jet-aircraft-for-sale/details/3992/2004-bombardier-challenger-604
"2004 Dassault Falcon 900EX EASy",Jetcraft,"""919-941-8400""",https://aircraftexchange.com/jet-aircraft-for-sale/details/5370/2004-dassault-falcon-900ex
"2004 Cessna Citation XLS","CFS Jets","""423-667-2222""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6290/2004-cessna-citation-xls
"2004 Cirrus SR22 G2","Lone Mountain Aircraft","""612-321-6489""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6327/2004-cirrus-sr22
"2004 Cessna Citation Sovereign","CFS Jets","""704-359-0007, 704-363-8360""",https://aircraftexchange.com/jet-aircraft-for-sale/details/6359/2004-cessna-citation-sovereign
